grupo_fase,time_mandante,bandeira_mandante,time_visitante,bandeira_visitante,data_hora,multiplicador
Fase de 32,A Definir,xx,A Definir,xx,2026-07-01T13:00:00,2
Fase de 32,A Definir,xx,A Definir,xx,2026-07-01T17:00:00,2
Fase de 32,A Definir,xx,A Definir,xx,2026-07-01T21:00:00,2
Fase de 32,A Definir,xx,A Definir,xx,2026-07-02T13:00:00,2
Fase de 32,A Definir,xx,A Definir,xx,2026-07-02T17:00:00,2
Fase de 32,A Definir,xx,A Definir,xx,2026-07-03T16:00:00,2
Fase de 32,A Definir,xx,A Definir,xx,2026-07-03T20:00:00,2
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-04T13:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-04T17:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-05T13:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-05T17:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-06T13:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-06T17:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-07T13:00:00,3
Oitavas de Final,A Definir,xx,A Definir,xx,2026-07-07T17:00:00,3
Quartas de Final,A Definir,xx,A Definir,xx,2026-07-09T17:00:00,4
Quartas de Final,A Definir,xx,A Definir,xx,2026-07-10T17:00:00,4
Quartas de Final,A Definir,xx,A Definir,xx,2026-07-11T13:00:00,4
Quartas de Final,A Definir,xx,A Definir,xx,2026-07-11T17:00:00,4
Semifinal,A Definir,xx,A Definir,xx,2026-07-14T17:00:00,5
Semifinal,A Definir,xx,A Definir,xx,2026-07-15T17:00:00,5
Terceiro Lugar,A Definir,xx,A Definir,xx,2026-07-18T17:00:00,5
Final,A Definir,xx,A Definir,xx,2026-07-19T16:00:00,10
